caption,path,dataset,target
"the wind extinguishes a candle in a dark room , concept of end and death",cc/training/290206_362339098,imagenet20,candle
two silver colored and red colored candle burning in the dark,cc/training/290206_362339098,imagenet20,candle
a candle with wreath of ivy and juniper,cc/training/290206_362339098,imagenet20,candle
light candle burning brightly in the black background,cc/training/290206_362339098,imagenet20,candle
spa still life with burning candle and flower of person on wooden background,cc/training/290206_362339098,imagenet20,candle
cross on the background of a burning candle in the church,cc/training/290206_362339098,imagenet20,candle
a candle for all our angels gone but never forgotten ... <3,cc/training/290206_362339098,imagenet20,candle
a candle that is changing colors .,cc/training/290206_362339098,imagenet20,candle
lighting a candle with a match in complete darkness,cc/training/290206_362339098,imagenet20,candle
candle on a white background,cc/training/290206_362339098,imagenet20,candle
candle forms icons set in purple color isolated vector illustration for web and any design,cc/training/290206_362339098,imagenet20,candle
